verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_expected	log_actual	log_odds_ratio
sat	15249	0.003	8.0	0.064	0.000192	0.0005246245655452816	-8.558015185936492	-7.552827664435176	-1.005
tamamla	14867	0.003	24.0	0.064	0.000192	0.0016143135804129953	-8.558015185936492	-6.428845440265405	-2.129
yayımla	14510	0.003	52.0	0.064	0.000192	0.003583735354927636	-8.558015185936492	-5.631349627296806	-2.927
belir	14211	0.003	13404.0	0.064	0.000192	0.9432130040109774	-8.558015185936492	-0.05846314273466046	-8.5
araştır	14192	0.003	3.0	0.064	0.000192	0.00021138669673055241	-8.558015185936492	-8.461821415881252	-0.096
doğ	14134	0.003	1.0	0.064	0.000192	7.075137965190322e-05	-8.558015185936492	-9.5563385212508	0.998
yerleş	14057	0.003	4306.0	0.064	0.000192	0.30632425126271606	-8.558015185936492	-1.1831110934074576	-7.375
gönder	14056	0.003	15.0	0.064	0.000192	0.0010671599317017644	-8.558015185936492	-6.842754428764723	-1.715
düş	13880	0.003	1e-10	0.064	0.000192	7.204610951008645e-15	-8.558015185936492	-32.56405516400125	24.006
art	13764	0.003	2777.0	0.064	0.000192	0.20175820982272596	-8.558015185936492	-1.6006852796105715	-6.957
düşün	13703	0.003	247.0	0.064	0.000192	0.018025249945267458	-8.558015185936492	-4.015981729318224	-4.542
yüksel	13694	0.003	1926.0	0.064	0.000192	0.14064553819190886	-8.558015185936492	-1.9615124673229374	-6.597
savun	13578	0.003	1e-10	0.064	0.000192	7.364854912358227e-15	-8.558015185936492	-32.54205704480205	23.984
tut	13268	0.003	373.0	0.064	0.000192	0.02811275248718722	-8.558015185936492	-3.5715319804231274	-4.986
anlat	13206	0.003	8.0	0.064	0.000192	0.0006057852491291837	-8.558015185936492	-7.408985009074681	-1.149
konuş	12610	0.003	75.0	0.064	0.000192	0.005947660586835844	-8.558015185936492	-5.124757315422655	-3.433
sun	12428	0.003	45.0	0.064	0.000192	0.0036208561313163822	-8.558015185936492	-5.6210447807426185	-2.937
