verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_expected	log_actual	log_odds_ratio
eleştir	2514	0.001	1.0	0.064	6.4e-05	0.0003977724741447892	-9.656627474604603	-7.829630389150193	-1.827
kaynaklan	2503	0.001	4.0	0.064	6.4e-05	0.0015980823012385138	-9.656627474604603	-6.438950930311884	-3.218
kaçır	2482	0.001	21.0	0.064	6.4e-05	0.008460918614020952	-9.656627474604603	-4.772297528041129	-4.884
öde	2472	0.001	40.0	0.064	6.4e-05	0.016181229773462782	-9.656627474604603	-4.123903364463645	-5.533
yasakla	2439	0.001	5.0	0.064	6.4e-05	0.002050020500205002	-9.656627474604603	-6.18990548578182	-3.467
yan	2433	0.001	4.0	0.064	6.4e-05	0.0016440608302507192	-9.656627474604603	-6.410585981663632	-3.246
çarpış	2394	0.001	69.0	0.064	6.4e-05	0.02882205513784461	-9.656627474604603	-3.546614381520659	-6.11
yenile	2360	0.0	9.0	0.064	0.0	0.0038135593220338985		-5.569192320683436	
vazgeç	2359	0.0	1.0	0.064	0.0	0.000423908435777872		-7.765993079407675	
hisset	2314	0.0	206.0	0.064	0.0	0.08902333621434745		-2.418856738964041	
tüket	2294	0.0	1e-10	0.064	0.0	4.3591979075850046e-14		-30.763903227629772	
yat	2287	0.0	1.0	0.064	0.0	0.00043725404459991256		-7.734996194022781	
sor	2282	0.0	6.0	0.064	0.0	0.0026292725679228747		-5.941048061193966	
giriş	2256	0.0	1e-10	0.064	0.0	4.4326241134751775e-14		-30.747199542558405	
yargıla	2246	0.0	4.0	0.064	0.0	0.0017809439002671415		-6.3306117741784975	
ölç	2238	0.0	1.0	0.064	0.0	0.00044682752457551384		-7.71333788887187	
unut	2226	0.0	85.0	0.064	0.0	0.038185085354896675		-3.2653102753451737	
kaybol	2207	0.0	1e-10	0.064	0.0	4.5310376076121436e-14		-30.725240336197192	
çök	2203	0.0	37.0	0.064	0.0	0.016795279164775308		-4.086657434158119	
kapla	2193	0.0	7.0	0.064	0.0	0.0031919744642042863		-5.747115599362575	
algıla	2160	0.0	1.0	0.064	0.0	0.000462962962962963		-7.67786350067821	
derle	2158	0.0	1e-10	0.064	0.0	4.633920296570899e-14		-30.702788075758537	
buluş	2147	0.0	226.0	0.064	0.0	0.10526315789473684		-2.2512917986064953	
kirala	2125	0.0	1e-10	0.064	0.0	4.705882352941177e-14		-30.687378011298975	
onayla	2122	0.0	35.0	0.064	0.0	0.01649387370405278		-4.104766257684515	
koş	2118	0.0	298.0	0.064	0.0	0.14069877242681775		-1.9611340396559473	
göm	2117	0.0	24.0	0.064	0.0	0.011336797354747285		-4.479701440786919	
çağır	2114	0.0	46.0	0.064	0.0	0.021759697256385997		-3.827695769941088	
dolaş	2074	0.0	88.0	0.064	0.0	0.04243008678881389		-3.159897574311266	
yükle	2061	0.0	14.0	0.064	0.0	0.006792819019893256		-4.9918892512752	
yönlendir	2026	0.0	1e-10	0.064	0.0	4.9358341559723595e-14		-30.639669614749085	
sapta	2016	0.0	1e-10	0.064	0.0	4.9603174603174604e-14		-30.634721559131716	
öngör	2007	0.0	1e-10	0.064	0.0	4.982561036372696e-14		-30.630247278736796	
uyan	1974	0.0	1051.0	0.064	0.0	0.5324214792299898		-0.6303198491164759	
sahnele	1974	0.0	3.0	0.064	0.0	0.001519756838905775		-6.489204931325317	
del	1971	0.0	4.0	0.064	0.0	0.0020294266869609334		-6.200001946032829	
kay	1948	0.0	582.0	0.064	0.0	0.29876796714579057		-1.2080880364710425	
çağrıl	1927	0.0	1e-10	0.064	0.0	5.189413596263622e-14		-30.589570598354822	
kısal	1927	0.0	1727.0	0.064	0.0	0.8962117280747276		-0.10957859026768774	
başvur	1922	0.0	1e-10	0.064	0.0	5.202913631633715e-14		-30.586972519470695	
kanıtla	1906	0.0	1.0	0.064	0.0	0.0005246589716684155		-7.552762084214147	
harca	1876	0.0	6.0	0.064	0.0	0.0031982942430703624		-5.745137660338115	
amaçla	1837	0.0	1e-10	0.064	0.0	5.443658138268917e-14		-30.541740015155582	
nitelen	1832	0.0	1538.0	0.064	0.0	0.8395196506550219		-0.17492539516848624	
örgütle	1829	0.0	1.0	0.064	0.0	0.0005467468562055768		-7.511524648390866	
dinle	1826	0.0	136.0	0.064	0.0	0.07447973713033954		-2.597228175418862	
gözlemle	1822	0.0	1e-10	0.064	0.0	5.488474204171241e-14		-30.53354100776036	
sar	1817	0.0	8.0	0.064	0.0	0.004402861860209136		-5.425500526716335	
parçala	1808	0.0	7.0	0.064	0.0	0.0038716814159292035		-5.554066391896809	
eriş	1803	0.0	22.0	0.064	0.0	0.012201885745978924		-4.4061647698450015	
gözle	1789	0.0	1e-10	0.064	0.0	5.5897149245388484e-14		-30.515263013449175	
avla	1763	0.0	1.0	0.064	0.0	0.0005672149744753262		-7.47477218239787	
hatırla	1749	0.0	532.0	0.064	0.0	0.30417381360777584		-1.1901559856769577	
sula	1727	0.0	5.0	0.064	0.0	0.0028951939779965257		-5.844703165712578	
esinle	1707	0.0	1e-10	0.064	0.0	5.858230814294083e-14		-30.468343652734898	
gez	1695	0.0	141.0	0.064	0.0	0.0831858407079646		-2.4866781294363824	
yüz	1692	0.0	48.0	0.064	0.0	0.028368794326241134		-3.5624655292582776	
beğen	1690	0.0	18.0	0.064	0.0	0.010650887573964497		-4.542112050020955	
dik	1675	0.0	93.0	0.064	0.0	0.05552238805970149		-2.890968951105911	
düzel	1651	0.0	1374.0	0.064	0.0	0.8322228952150212		-0.1836549711378333	
vurgula	1636	0.0	1e-10	0.064	0.0	6.112469437652812e-14		-30.425860447103148	
takıl	1635	0.0	1e-10	0.064	0.0	6.116207951070336e-14		-30.42524901327181	
güçlen	1626	0.0	1626.0	0.064	0.0	1.0		0.0	
dene	1615	0.0	1.0	0.064	0.0	0.0006191950464396285		-7.387090235656757	
boşa	1610	0.0	5.0	0.064	0.0	0.003105590062111801		-5.7745515455444085	
as	1577	0.0	30.0	0.064	0.0	0.019023462270133164		-3.962082205300883	
iç	1572	0.0	2.0	0.064	0.0	0.001272264631043257		-6.666956792429207	
sıkış	1563	0.0	1031.0	0.064	0.0	0.6596289187460013		-0.4160778464045167	
öğret	1536	0.0	1e-10	0.064	0.0	6.510416666666667e-14		-30.362787843648075	
fırla	1526	0.0	1349.0	0.064	0.0	0.8840104849279161		-0.12328635563664643	
fethet	1516	0.0	1e-10	0.064	0.0	6.596306068601583e-14		-30.349681496142775	
ilet	1486	0.0	1e-10	0.064	0.0	6.729475100942126e-14		-30.32969415521816	
kap	1456	0.0	564.0	0.064	0.0	0.3873626373626374		-0.9483939772585723	
devret	1454	0.0	4.0	0.064	0.0	0.002751031636863824		-5.895779296973574	
kork	1447	0.0	1e-10	0.064	0.0	6.910850034554251e-14		-30.30309865657194	
doğur	1443	0.0	15.0	0.064	0.0	0.010395010395010396		-4.566429357671661	
dinlen	1433	0.0	99.0	0.064	0.0	0.06908583391486392		-2.672405577693582	
kalkın	1417	0.0	58.0	0.064	0.0	0.040931545518701484		-3.195854229144261	
sığın	1404	0.0	4.0	0.064	0.0	0.002849002849002849		-5.860786223465865	
temizle	1397	0.0	11.0	0.064	0.0	0.007874015748031496		-4.844187086458591	
depola	1396	0.0	1e-10	0.064	0.0	7.163323782234958e-14		-30.267217213262775	
görüş	1382	0.0	12.0	0.064	0.0	0.008683068017366137		-4.746380354539615	
yet	1354	0.0	1e-10	0.064	0.0	7.385524372230429e-14		-30.23666938341268	
betimle	1339	0.0	1.0	0.064	0.0	0.0007468259895444362		-7.199678345691172	
gözük	1337	0.0	1.0	0.064	0.0	0.0007479431563201197		-7.198183577101943	
em	1336	0.0	53.0	0.064	0.0	0.03967065868263473		-3.227143440544469	
süsle	1333	0.0	3.0	0.064	0.0	0.002250562640660165		-6.096575031510599	
tüken	1331	0.0	1.0	0.064	0.0	0.0007513148009015778		-7.193685818395112	
eri	1315	0.0	362.0	0.064	0.0	0.2752851711026616		-1.289947732786094	
yolla	1314	0.0	2.0	0.064	0.0	0.0015220700152207		-6.487684018484611	
kısıtla	1312	0.0	1e-10	0.064	0.0	7.621951219512196e-14		-30.20515889944449	
hedefle	1307	0.0	1e-10	0.064	0.0	7.651109410864576e-14		-30.201340643564677	
oyla	1284	0.0	10.0	0.064	0.0	0.00778816199376947		-4.855150391255861	
ada	1280	0.0	12.0	0.064	0.0	0.009375		-4.669708707125663	
çoğal	1274	0.0	371.0	0.064	0.0	0.29120879120879123		-1.2337147735246734	
tekrarla	1270	0.0	4.0	0.064	0.0	0.0031496062992125984		-5.760477818332746	
bin	1268	0.0	287.0	0.064	0.0	0.22634069400630916		-1.4857139192375501	
kop	1260	0.0	1e-10	0.064	0.0	7.936507936507936e-14		-30.16471792988598	
emret	1249	0.0	1e-10	0.064	0.0	8.00640512409928e-14		-30.155949440066035	
it	1248	0.0	27.0	0.064	0.0	0.021634615384615384		-3.8334606829250437	
sorgula	1239	0.0	8.0	0.064	0.0	0.00645682001614205		-5.042618339949307	
sil	1236	0.0	19.0	0.064	0.0	0.015372168284789644		-4.1751966588511955	
uyar	1231	0.0	3.0	0.064	0.0	0.002437043054427295		-6.016969837516344	
odakla	1223	0.0	1e-10	0.064	0.0	8.176614881439084e-14		-30.13491306562763	
tak	1217	0.0	21.0	0.064	0.0	0.01725554642563681		-4.059621655264104	
denetle	1217	0.0	3.0	0.064	0.0	0.0024650780608052587		-6.005531804319418	
pazarla	1210	0.0	1e-10	0.064	0.0	8.264462809917356e-14		-30.124226568531242	
doğrula	1204	0.0	13.0	0.064	0.0	0.01079734219269103		-4.52845526840723	
soruştur	1194	0.0	1e-10	0.064	0.0	8.375209380234507e-14		-30.110915223893006	
ayarla	1186	0.0	1.0	0.064	0.0	0.0008431703204047217		-7.078341579557671	
döv	1180	0.0	14.0	0.064	0.0	0.011864406779661017		-4.434212387844452	
kov	1178	0.0	12.0	0.064	0.0	0.010186757215619695		-4.586666714423532	
yara	1174	0.0	1e-10	0.064	0.0	8.517887563884156e-14		-30.0940229303285	
bat	1171	0.0	1e-10	0.064	0.0	8.539709649871905e-14		-30.091464293538174	
zayıfla	1160	0.0	332.0	0.064	0.0	0.28620689655172415		-1.2510403151839218	
dokun	1149	0.0	47.0	0.064	0.0	0.040905134899912966		-3.1964996761386972	
gecik	1144	0.0	268.0	0.064	0.0	0.23426573426573427		-1.4512991914288864	
programla	1137	0.0	1e-10	0.064	0.0	8.795074758135444e-14		-30.06199942369099	
gider	1136	0.0	1e-10	0.064	0.0	8.802816901408451e-14		-30.061119529221553	
pişir	1135	0.0	1e-10	0.064	0.0	8.81057268722467e-14		-30.06023885985596	
kuru	1112	0.0	610.0	0.064	0.0	0.5485611510791367		-0.6004565176431707	
eşleş	1111	0.0	162.0	0.064	0.0	0.14581458145814583		-1.9254194544072458	
defnet	1110	0.0	8.0	0.064	0.0	0.007207207207207207		-4.932673752626544	
faydalan	1106	0.0	4.0	0.064	0.0	0.003616636528028933		-5.6222108209623896	
gizle	1088	0.0	1.0	0.064	0.0	0.0009191176470588235		-6.992096427415888	
püskür	1086	0.0	833.0	0.064	0.0	0.7670349907918969		-0.26522285832703807	
donat	1064	0.0	2.0	0.064	0.0	0.0018796992481203006		-6.2766434893416445	
eğ	1051	0.0	115.0	0.064	0.0	0.10941960038058991		-2.2125652425137012	
tepki	1038	0.0	1e-10	0.064	0.0	9.633911368015414e-14		-29.970901993666292	
birik	1038	0.0	374.0	0.064	0.0	0.3603082851637765		-1.020795266311302	
varsay	1024	0.0	1e-10	0.064	0.0	9.765625e-14		-29.95732273553991	
kaçın	1014	0.0	1e-10	0.064	0.0	9.861932938856017e-14		-29.947509114091584	
boşalt	1012	0.0	3.0	0.064	0.0	0.0029644268774703555		-5.821071561179301	
sürükle	1007	0.0	2.0	0.064	0.0	0.0019860973187686196		-6.221583712158617	
sınırla	1006	0.0	1e-10	0.064	0.0	9.940357852882704e-14		-29.93958828060014	
çekiş	990	0.0	19.0	0.064	0.0	0.01919191919191919		-3.9532659639621954	
eğit	982	0.0	1e-10	0.064	0.0	1.0183299389002037e-13		-29.915442238294922	
aydınlat	982	0.0	1e-10	0.064	0.0	1.0183299389002037e-13		-29.915442238294922	
andır	979	0.0	1e-10	0.064	0.0	1.0214504596527069e-13		-29.912382572470968	
ısıt	969	0.0	1e-10	0.064	0.0	1.0319917440660475e-13		-29.902115541831222	
güncelle	961	0.0	1e-10	0.064	0.0	1.040582726326743e-13		-29.893825338910748	
gerile	946	0.0	57.0	0.064	0.0	0.06025369978858351		-2.809191301217328	
devral	934	0.0	1e-10	0.064	0.0	1.0706638115631692e-13		-29.8653273681693	
seyret	931	0.0	7.0	0.064	0.0	0.007518796992481203		-4.890349128221754	
ört	923	0.0	1.0	0.064	0.0	0.0010834236186348862		-6.827629234502853	
güven	915	0.0	6.0	0.064	0.0	0.006557377049180328		-5.0271645960474665	
dile	915	0.0	1e-10	0.064	0.0	1.092896174863388e-13		-29.844774995215978	
yağmala	899	0.0	9.0	0.064	0.0	0.010011123470522803		-4.604058457135401	
kopar	898	0.0	87.0	0.064	0.0	0.09688195991091314		-2.334261949647616	
ateşle	884	0.0	1e-10	0.064	0.0	1.1312217194570137e-13		-29.8103079925781	
çözümle	872	0.0	1e-10	0.064	0.0	1.1467889908256882e-13		-29.796640353849437	
ünle	863	0.0	1e-10	0.064	0.0	1.1587485515643105e-13		-29.786265621023883	
bağışla	861	0.0	10.0	0.064	0.0	0.011614401858304297		-4.4555094114336855	
hoşlan	861	0.0	1e-10	0.064	0.0	1.1614401858304297e-13		-29.78394543436819	
alış	850	0.0	156.0	0.064	0.0	0.18352941176470589		-1.695380342234825	
boya	847	0.0	25.0	0.064	0.0	0.0295159386068477		-3.522824869783854	
boğ	845	0.0	100.0	0.064	0.0	0.11834319526627218		-2.1341664413690826	
batır	838	0.0	1.0	0.064	0.0	0.0011933174224343676		-6.731018100482083	
zehirle	838	0.0	33.0	0.064	0.0	0.03937947494033413		-3.234510539015603	
tırman	835	0.0	29.0	0.064	0.0	0.03473053892215569		-3.3601358948643814	
uyu	833	0.0	76.0	0.064	0.0	0.09123649459783914		-2.3943003018805116	
naklet	832	0.0	15.0	0.064	0.0	0.018028846153846152		-4.015782239718999	
bombala	828	0.0	1.0	0.064	0.0	0.0012077294685990338		-6.71901315438526	
ısın	828	0.0	9.0	0.064	0.0	0.010869565217391304		-4.5217885770490405	
ayrış	822	0.0	346.0	0.064	0.0	0.4209245742092457		-0.8653016199984557	
uzlaş	820	0.0	95.0	0.064	0.0	0.11585365853658537		-2.155427448657758	
görüntüle	810	0.0	1e-10	0.064	0.0	1.234567901234568e-13		-29.72288517760694	
diz	808	0.0	6.0	0.064	0.0	0.007425742574257425		-4.9028025892930405	
ez	807	0.0	10.0	0.064	0.0	0.012391573729863693		-4.390738575275903	
kana	802	0.0	22.0	0.064	0.0	0.02743142144638404		-3.5960661545081987	
ertele	799	0.0	7.0	0.064	0.0	0.008760951188986232		-4.737450796710961	
kodla	799	0.0	1e-10	0.064	0.0	1.251564455569462e-13		-29.709211875706732	
sız	798	0.0	250.0	0.064	0.0	0.3132832080200501		-1.1606476795875624	
feshet	796	0.0	7.0	0.064	0.0	0.008793969849246231		-4.73368903678907	
don	779	0.0	168.0	0.064	0.0	0.21566110397946084		-1.5340470664674895	
ger	772	0.0	22.0	0.064	0.0	0.02849740932642487		-3.5579420966664603	
aydınlan	768	0.0	1.0	0.064	0.0	0.0013020833333333333		-6.643789733147672	
bulaş	766	0.0	110.0	0.064	0.0	0.14360313315926893		-1.9407018039481752	
ilişkilendir	765	0.0	1e-10	0.064	0.0	1.3071895424836602e-13		-29.665726763766994	
dal	763	0.0	91.0	0.064	0.0	0.11926605504587157		-2.1263985247676067	
şaşır	759	0.0	365.0	0.064	0.0	0.48089591567852435		-0.7321044238131384	
resmet	756	0.0	1.0	0.064	0.0	0.0013227513227513227		-6.628041376179533	
şifrele	745	0.0	1e-10	0.064	0.0	1.3422818791946308e-13		-29.639235148320015	
um	744	0.0	1e-10	0.064	0.0	1.3440860215053765e-13		-29.637891964773548	
simgele	733	0.0	1e-10	0.064	0.0	1.364256480218281e-13		-29.622996631827107	
katlet	732	0.0	11.0	0.064	0.0	0.015027322404371584		-4.1978852411629415	
karşılaştır	731	0.0	1e-10	0.064	0.0	1.3679890560875515e-13		-29.620264389690234	
haberleş	728	0.0	4.0	0.064	0.0	0.005494505494505495		-5.204006687076795	
değin	723	0.0	2.0	0.064	0.0	0.0027662517289073307		-5.890262041598819	
kavra	720	0.0	4.0	0.064	0.0	0.005555555555555556		-5.19295685089021	
çevrele	719	0.0	1e-10	0.064	0.0	1.3908205841446454e-13		-29.603712287661505	
öv	717	0.0	1.0	0.064	0.0	0.001394700139470014		-6.57507584059962	
ağla	713	0.0	41.0	0.064	0.0	0.05750350631136045		-2.855909353709988	
küçül	713	0.0	258.0	0.064	0.0	0.36185133239831696		-1.0165218354926786	
yıka	708	0.0	1e-10	0.064	0.0	1.4124293785310736e-13		-29.588295023634178	
çiftleş	704	0.0	45.0	0.064	0.0	0.06392045454545454		-2.7501158663877225	
sakatla	703	0.0	1e-10	0.064	0.0	1.422475106685633e-13		-29.58120782175112	
onar	696	0.0	33.0	0.064	0.0	0.04741379310344827		-3.0488420988679397	
azlet	693	0.0	13.0	0.064	0.0	0.01875901875901876		-3.9760806417283665	
tutun	691	0.0	8.0	0.064	0.0	0.011577424023154847		-4.458698282087834	
güt	686	0.0	1e-10	0.064	0.0	1.457725947521866e-13		-29.556728557666343	
çözün	676	0.0	13.0	0.064	0.0	0.019230769230769232		-3.951243718581427	
hapset	671	0.0	21.0	0.064	0.0	0.03129657228017884		-3.4642466992482586	
aşın	668	0.0	202.0	0.064	0.0	0.3023952095808383		-1.196020476135441	
kesiş	667	0.0	3.0	0.064	0.0	0.004497751124437781		-5.404177757247514	
sus	665	0.0	129.0	0.064	0.0	0.19398496240601504		-1.639974636294182	
sök	664	0.0	52.0	0.064	0.0	0.0783132530120482		-2.5470384308950065	
devril	662	0.0	1e-10	0.064	0.0	1.5105740181268882e-13		-29.521116485877464	
devir	650	0.0	1e-10	0.064	0.0	1.5384615384615384e-13		-29.50282329283014	
kayna	650	0.0	291.0	0.064	0.0	0.44769230769230767		-0.8036490957181903	
özetle	647	0.0	1.0	0.064	0.0	0.0015455950540958269		-6.472346294500901	
göç	647	0.0	1e-10	0.064	0.0	1.545595054095827e-13		-29.49819722444136	
affet	645	0.0	21.0	0.064	0.0	0.03255813953488372		-3.4247278790723494	
arın	640	0.0	378.0	0.064	0.0	0.590625		-0.52657398073413	
indirge	636	0.0	1e-10	0.064	0.0	1.5723270440251573e-13		-29.48104949328058	
sars	635	0.0	1e-10	0.064	0.0	1.5748031496062994e-13		-29.47947592883315	
yavaşla	633	0.0	284.0	0.064	0.0	0.4486571879936809		-0.8014961839829702	
sıçra	632	0.0	39.0	0.064	0.0	0.061708860759493674		-2.785327748017211	
boşal	629	0.0	1e-10	0.064	0.0	1.589825119236884e-13		-29.469982186640898	
yar	629	0.0	1.0	0.064	0.0	0.001589825119236884		-6.44413125670044	
sön	625	0.0	280.0	0.064	0.0	0.448		-0.8029620465671519	
kaz	623	0.0	32.0	0.064	0.0	0.051364365971107544		-2.9688106159877266	
kız	620	0.0	229.0	0.064	0.0	0.36935483870967745		-0.9959974744848975	
konuşlan	619	0.0	307.0	0.064	0.0	0.49596122778675283		-0.7012575250973989	
parla	619	0.0	89.0	0.064	0.0	0.14378029079159935		-1.9394689029524563	
konakla	601	0.0	2.0	0.064	0.0	0.0033277870216306157		-5.705447753975262	
saç	592	0.0	35.0	0.064	0.0	0.05912162162162162		-2.828158573394592	
bürün	591	0.0	23.0	0.064	0.0	0.038917089678511		-3.2463218014769484	
toparla	587	0.0	1e-10	0.064	0.0	1.7035775127768313e-13		-29.400875749768552	
oy	584	0.0	4.0	0.064	0.0	0.00684931506849315		-4.983606621708336	
çekin	583	0.0	1e-10	0.064	0.0	1.7152658662092625e-13		-29.39403811629095	
salgıla	582	0.0	5.0	0.064	0.0	0.00859106529209622		-4.757032535297338	
katlan	581	0.0	1e-10	0.064	0.0	1.7211703958691911e-13		-29.39060168679237	
ispatla	574	0.0	2.0	0.064	0.0	0.003484320557491289		-5.659482215759621	
gül	572	0.0	114.0	0.064	0.0	0.1993006993006993		-1.6129405429853025	
kastet	571	0.0	1e-10	0.064	0.0	1.7513134851138355e-13		-29.37324013959647	
iv	570	0.0	11.0	0.064	0.0	0.01929824561403509		-3.947741088030225	
yapış	569	0.0	238.0	0.064	0.0	0.4182776801405975		-0.8716097604548563	
kıyasla	552	0.0	1e-10	0.064	0.0	1.8115942028985507e-13		-29.339398976217552	
işit	549	0.0	1.0	0.064	0.0	0.0018214936247723133		-6.3080984415095305	
çürü	545	0.0	180.0	0.064	0.0	0.3302752293577982		-1.1078289437730335	
bağır	544	0.0	10.0	0.064	0.0	0.01838235294117647		-3.996364153861897	
ör	539	0.0	6.0	0.064	0.0	0.011131725417439703		-4.497956101680942	
noktala	534	0.0	1e-10	0.064	0.0	1.8726591760299625e-13		-29.306246768900653	
havalan	531	0.0	303.0	0.064	0.0	0.5706214689265536		-0.5610292157325698	
kaynaş	519	0.0	113.0	0.064	0.0	0.21772639691714837		-1.524516064453548	
işaretle	517	0.0	1e-10	0.064	0.0	1.9342359767891684e-13		-29.273893804448885	
hükmet	510	0.0	1e-10	0.064	0.0	1.9607843137254904e-13		-29.260261655658827	
nitele	509	0.0	1e-10	0.064	0.0	1.9646365422396858e-13		-29.258298946490978	
atfet	506	0.0	1e-10	0.064	0.0	1.9762845849802372e-13		-29.252387599227923	
geçin	503	0.0	45.0	0.064	0.0	0.08946322067594434		-2.4139276803294196	
pekiş	499	0.0	444.0	0.064	0.0	0.8897795591182365		-0.1167815333192939	
ek	496	0.0	2.0	0.064	0.0	0.004032258064516129		-5.5134287461649825	
üz	496	0.0	1.0	0.064	0.0	0.0020161290322580645		-6.206575926724928	
kopyala	489	0.0	1e-10	0.064	0.0	2.0449897750511247e-13		-29.218213419415328	
hastalan	487	0.0	8.0	0.064	0.0	0.01642710472279261		-4.1088225814027535	
yut	473	0.0	9.0	0.064	0.0	0.019027484143763214		-3.9618708111557135	
ser	470	0.0	1e-10	0.064	0.0	2.1276595744680852e-13		-29.17858362464456	
sına	470	0.0	1e-10	0.064	0.0	2.1276595744680852e-13		-29.17858362464456	
yatır	470	0.0	1.0	0.064	0.0	0.002127659574468085		-6.152732694704104	
salla	466	0.0	1e-10	0.064	0.0	2.145922746781116e-13		-29.170036564066102	
tetikle	466	0.0	1e-10	0.064	0.0	2.145922746781116e-13		-29.170036564066102	
eğlen	464	0.0	145.0	0.064	0.0	0.3125		-1.1631508098056809	
onurlan	462	0.0	462.0	0.064	0.0	1.0		0.0	
aldat	461	0.0	1e-10	0.064	0.0	2.1691973969631238e-13		-29.159248972937107	
süz	460	0.0	2.0	0.064	0.0	0.004347826086956522		-5.438079308923196	
biçimlen	459	0.0	296.0	0.064	0.0	0.644880174291939		-0.43869075573648475	
zannet	458	0.0	4.0	0.064	0.0	0.008733624454148471		-4.740574822994295	
aşağıla	456	0.0	1.0	0.064	0.0	0.0021929824561403508		-6.1224928095143865	
dışla	451	0.0	1.0	0.064	0.0	0.0022172949002217295		-6.111467339502679	
piş	450	0.0	1e-10	0.064	0.0	2.2222222222222222e-13		-29.135098512704822	
döşe	449	0.0	11.0	0.064	0.0	0.024498886414253896		-3.709127614943884	
yum	448	0.0	1e-10	0.064	0.0	2.2321428571428573e-13		-29.13064416235544	
yığ	448	0.0	2.0	0.064	0.0	0.004464285714285714		-5.4116460518550396	
kaydol	445	0.0	1e-10	0.064	0.0	2.2471910112359553e-13		-29.1239252121067	
bük	442	0.0	1e-10	0.064	0.0	2.2624434389140274e-13		-29.117160812018156	
yinele	441	0.0	1e-10	0.064	0.0	2.2675736961451247e-13		-29.114895805387302	
gözet	441	0.0	1e-10	0.064	0.0	2.2675736961451247e-13		-29.114895805387302	
kına	436	0.0	1e-10	0.064	0.0	2.2935779816513764e-13		-29.10349317328949	
belgele	434	0.0	1.0	0.064	0.0	0.002304147465437788		-6.073044534100405	
ışı	434	0.0	4.0	0.064	0.0	0.009216589861751152		-4.686750172980514	
yanaş	433	0.0	18.0	0.064	0.0	0.04157043879907621		-3.180365970106325	
yumuşa	430	0.0	212.0	0.064	0.0	0.4930232558139535		-0.7071989340155956	
yetin	427	0.0	1e-10	0.064	0.0	2.34192037470726e-13		-29.082634943169083	
sin	427	0.0	374.0	0.064	0.0	0.8758782201405152		-0.13252821581409266	
tap	427	0.0	1.0	0.064	0.0	0.00234192037470726		-6.056784013228625	
daral	423	0.0	1e-10	0.064	0.0	2.364066193853428e-13		-29.073223108986735	
beze	422	0.0	1.0	0.064	0.0	0.002369668246445498		-6.045005314036012	
dolan	421	0.0	88.0	0.064	0.0	0.20902612826603326		-1.565296019204175	
ısır	420	0.0	9.0	0.064	0.0	0.02142857142857143		-3.8430301339411947	
dövüş	417	0.0	21.0	0.064	0.0	0.050359712230215826		-2.9885637840753785	
soğu	411	0.0	1e-10	0.064	0.0	2.4330900243309005e-13		-29.044444144436692	
anımsa	410	0.0	308.0	0.064	0.0	0.751219512195122		-0.28605737672477904	
sürtün	410	0.0	1e-10	0.064	0.0	2.4390243902439026e-13		-29.04200808963881	
çiğne	394	0.0	7.0	0.064	0.0	0.017766497461928935		-4.03044076024262	
soy	394	0.0	3.0	0.064	0.0	0.007614213197969543		-4.877738620629824	
bur	390	0.0	1.0	0.064	0.0	0.002564102564102564		-5.966146739123692	
kan	388	0.0	341.0	0.064	0.0	0.8788659793814433		-0.12912286233975667	
uçur	388	0.0	102.0	0.064	0.0	0.26288659793814434		-1.3360325263390023	
kas	384	0.0	1e-10	0.064	0.0	2.604166666666667e-13		-28.976493482528184	
düğ	381	0.0	1e-10	0.064	0.0	2.624671916010499e-13		-28.968650305067158	
soyutla	379	0.0	1e-10	0.064	0.0	2.638522427440633e-13		-28.963387135022884	
tapın	378	0.0	1e-10	0.064	0.0	2.6455026455026456e-13		-28.960745125560045	
sol	374	0.0	7.0	0.064	0.0	0.01871657754010695		-3.978345648359219	
dengele	368	0.0	1e-10	0.064	0.0	2.717391304347826e-13		-28.93393386810939	
sıkıl	367	0.0	1e-10	0.064	0.0	2.7247956403269753e-13		-28.93121277799503	
yazış	365	0.0	1e-10	0.064	0.0	2.73972602739726e-13		-28.92574828352295	
yumurtla	362	0.0	1.0	0.064	0.0	0.0027624309392265192		-5.8916442118257715	
harmanla	361	0.0	1e-10	0.064	0.0	2.7700831024930747e-13		-28.914728888273338	
yor	358	0.0	1e-10	0.064	0.0	2.793296089385475e-13		-28.906383916341156	
ağırla	351	0.0	1e-10	0.064	0.0	2.849002849002849e-13		-28.886637153406323	
öp	350	0.0	4.0	0.064	0.0	0.011428571428571429		-4.471638793363569	
dölle	349	0.0	1e-10	0.064	0.0	2.865329512893983e-13		-28.880922852142884	
kabullen	347	0.0	7.0	0.064	0.0	0.020172910662824207		-3.903414630891546	
kovala	346	0.0	2.0	0.064	0.0	0.005780346820809248		-5.153291594497779	
kurgula	345	0.0	1.0	0.064	0.0	0.002898550724637681		-5.84354441703136	
giyin	344	0.0	4.0	0.064	0.0	0.011627906976744186		-4.454347296253507	
gözetle	344	0.0	1e-10	0.064	0.0	2.9069767441860465e-13		-28.866492587313854	
dalgalan	343	0.0	16.0	0.064	0.0	0.04664723032069971		-3.0651417249261588	
soğut	341	0.0	1e-10	0.064	0.0	2.932551319648094e-13		-28.857733407223975	
uyuş	338	0.0	31.0	0.064	0.0	0.09171597633136094		-2.3890586909978726	
